S02_PM01,S02_PM25,S02_PM10,S03_PM01,S03_PM25,S03_PM10,S04_PM01,S04_PM25,S04_PM10,S05_PM01,S05_PM25,S05_PM10,S08_PM01,S08_PM25,S08_PM10,S09_PM01,S09_PM25,S09_PM10,S10_PM01,S10_PM25,S10_PM10,S11_PM01,S11_PM25,S11_PM10,S14_PM1,S14_PM2.5,S14_PM10,S15_M1,S15_PM25,S15_PM10,S17_PM01,S17_PM25,S17_PM10,S18_PM01,S18_PM25,S18_PM10,S19_PM01,S19_PM25,S19_PM10,S20_PM01,S20_PM25,S20_PM10
8,15,16,11,15,15,9,12,12,5,7,7,8,15,16,13,22,25,9,11,11,0,0,0,7,10,12,5,9,10,7,7,7,7,13,14,11,15,16,8,12,12
8,15,16,8,15,16,9,12,12,5,7,7,8,16,22,13,22,25,8,11,13,0,0,0,7,10,12,5,8,8,9,15,16,8,15,15,9,13,14,6,12,13
8,15,16,7,14,16,9,12,12,5,7,7,8,16,22,12,21,23,9,12,14,0,0,0,7,10,12,5,9,9,9,15,16,8,16,16,9,13,14,7,13,14
7,15,15,7,14,16,9,12,12,5,7,7,8,16,22,12,21,23,9,12,14,0,0,0,7,10,12,5,9,9,9,15,16,8,16,16,9,14,15,7,13,14
7,15,15,7,14,16,9,11,11,5,7,7,8,16,22,12,21,23,9,12,14,0,0,0,7,10,12,4,8,8,8,15,15,8,15,16,9,14,15,7,13,15
8,15,16,7,14,16,9,11,11,5,7,7,8,16,22,12,21,23,9,12,14,0,0,0,7,10,12,4,8,8,8,15,15,8,15,16,9,14,15,7,13,15
8,15,16,7,14,16,9,11,11,5,7,7,8,17,24,12,21,23,9,12,14,0,0,0,7,10,13,4,8,8,8,15,15,8,15,16,9,14,15,6,12,14
8,15,16,7,14,16,8,11,11,5,7,7,8,17,24,12,21,23,9,12,14,0,0,0,7,10,13,5,9,9,8,15,15,8,16,17,9,14,15,6,12,14
8,15,16,7,14,17,8,11,11,5,7,7,8,17,24,10,19,20,9,12,14,0,0,0,7,10,13,5,8,8,8,15,15,8,16,17,10,15,16,6,12,14
8,13,13,7,14,17,8,11,11,5,7,7,9,17,23,10,19,20,9,12,14,0,0,0,6,10,12,5,8,8,8,15,15,8,16,17,10,15,17,7,13,15
